CONTRACT_NUMBER,FISCAL_YEAR,AUDITOR_TYPE_CD,AUDITOR_TYPE_DES,INSTITUTION_CODE,INSTITUTION_CODE_DESCRIPTION,ELEGIBILITY_CODE,ELEGIBILITY_DESCRIPTION,AUDIT_TYPE,PRODUCT_STATUS_CODE,PRODUCT_STATUS_CODE_DES,OPINION_CODE,OPINION_CODE_DESCRIPTION,AUDIT_HOURS,AUDIT_COST,AUDIT_COST_CURRENCY,OBSERVATION_DESCRIPTION,DUE_DATE,DOCUMENT1,DOCUMENT2,DOCUMENT3,DOCUMENT4,DOCUMENT5,DOCUMENT6,DOCUMENT7,DOCUMENT8,DOCUMENT9,DOCUMENT10
SP/EM-98-11-PE,2000,IAF,EXTERNAL AUDITORS,PE-JARA,"JARA, ALVA Y URQUIZA CONTADORES PUBLICOSS.C.",ELG,Eligibility III,BORROWER,ANY,ANALYZED,CM,CM,,,,"",2001-04-30 00:00:00,,,,,,,,,,
1128/OC-PE,2000,IAF,EXTERNAL AUDITORS,PE-PWC,"PWC-DONGO-SORIA, GAVEGLIO Y ASOCIADOS FIRMA MIEMBRO DE PRICEWATERHOUSE",ELG+,Eligibility I,EXECUTOR,ANY,ANALYZED,CLE,Unqualified,,,,DEBERAN PRESENTAR EE.FF. 3 ANOS MAS DESPUES DEL ULTIMO DESEMBOLSO.,2001-04-30 00:00:00,,,,,,,,,,
SP/NF-92-22-HO,1998,IAF,EXTERNAL AUDITORS,HO-PWC,PRICEWATERHOUSECOOPERS,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Unqualified,,,,"",1999-04-30 00:00:00,,,,,,,,,,
SP/NF-92-22-HO,1998,IAF,EXTERNAL AUDITORS,HO-PWC,PRICEWATERHOUSECOOPERS,ELG+,Eligibility I,EXECUTOR,ANY,ANALYZED,CLE,Unqualified,,,,"",1999-04-30 00:00:00,,,,,,,,,,
1286/OC-CH,2002,IAF,EXTERNAL AUDITORS,CH-CGR,CONTRALORIA GENERAL DE LA REPUBLICA,ELG+,Eligibility I,EXECUTOR 3,ANY,ANALYZED,QOP,Salvedades - Qualified,,,,EFAS DE "CPL" UNO DE 9 CO-EJECUTORES Y UN CONSOLIDADO,2003-04-30 00:00:00,,,,,,,,,,
1286/OC-CH,2002,IAF,EXTERNAL AUDITORS,CH-CGR,CONTRALORIA GENERAL DE LA REPUBLICA,ELG+,Eligibility I,EXECUTOR 4,ANY,ANALYZED,CLE,Limpia - Unqualified,,,,EFAS DE "FDI" UNO DE 9 CO-EJECUTORES Y UN CONSOLIDADO,2003-04-30 00:00:00,,,,,,,,,,
882/SF-GU,1999,IAF,EXTERNAL AUDITORS,GU-PWC,"PRICEWATERHOUSECOOPERS, S.A.",NE,Not Eligible,EXECUTOR,ANY,ANALYZED,CLE,Unqualified,,,,"OPINION LIMPIA. SIN EMBARGO EL INFORME AUDITADO NO INCLUYO UNA CONCILIACION DEL PASIVO A FAVOR DEL BANCO CORRESPONDIENTE A LOS PRESTAMOS 454/OC-GU, 671/SF, 736/SF Y 882/SF-GU. SE SOLICITO AL EJECUTOR INFORMACION COMPLEMENTARIA AL RESPECTO.",2000-04-30 00:00:00,,,,,,,,,,
1311/OC-CH,2003,IAF,EXTERNAL AUDITORS,CH-CGR,CONTRALORIA GENERAL DE LA REPUBLICA,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,QOP,Salvedades - Qualified,,,,SE RECIBIO EFAS POR CADA EJECUTOR. SE CONVOCA CRG.,2004-04-30 00:00:00,,,,,,,,,,
1311/OC-CH,2004,IAF,EXTERNAL AUDITORS,CH-CGR,CONTRALORIA GENERAL DE LA REPUBLICA,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,QOP,Salvedades - Qualified,,,,EFAS SEC. EJEC. INFORMES INDIVIDUALES DE CO-EJECUTORES Y CONCILIACION DE MONTOS RENDIDOS SE PRODUCE DIF. REC DE CONT. INTERNO PARA MEJORAR SIST. DE RENDICIóN Y CONTROL CONSOLIDADO.,2005-04-30 00:00:00,,,,,,,,,,
1/SQ-ME,2002,IAF,EXTERNAL AUDITORS,ME-RESA,"RESA Y ASOCIADOS, S.C.",ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Unqualified,,,,EL INFORME FINAL SE RECIBIO EL 25/JUNIO/02. SE ANALIZO EL 23/JUL/02.            AUDITOR NO ELEGIBLE.,2003-04-30 00:00:00,,,,,,,,,,
1094/SF-GY,2002,IAF,EXTERNAL AUDITORS,GY-AG,AUDITOR GENERAL,ELG,Eligibility II,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,,,,NO SIGNIFICANT PROBLEMS FOUND BY FINNACE SECTION.,2003-04-30 00:00:00,,,,,,,,,,
1115/SF-HO,2003,NULL,,NULL,,NULL,,PROJECT,WA,WAIVED,NULL,"",,,,"",2004-04-30 00:00:00,,,,,,,,,,
831/SF-DR,1998,IAF,EXTERNAL AUDITORS,DR-BDO ORTEGA,"BDO AUDITORÍA, SRL",ELG,Eligibility II,PROJECT,ANY,ANALYZED,CLE,Unqualified,,,,"",1999-04-30 00:00:00,,,,,,,,,,
913/SF-EC,2000,IAF,EXTERNAL AUDITORS,EC-BDO,BDO ECUADOR CÍA. LTDA.,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Unqualified,,,,"",2001-04-30 00:00:00,,,,,,,,,,
1017/SF-NI,2004,IAF,EXTERNAL AUDITORS,NI-PWC,PRICEWATERHOUSECOOPERS,ELG+,Eligibility I,EXECUTOR 1,ANY,ANALYZED,CLE,Limpia - Unqualified,,,,ESTOS EFAS CORRESPONDEN AL PROYECTO EJECUTADO POR ENTRESA,2005-04-30 00:00:00,,,,,,,,,,
773/SF-PN,1998,IAF,EXTERNAL AUDITORS,PN-CGN,CONTRALORIA GENERAL DE PANAMA,NE,Not Eligible,PROJECT,ANY,ANALYZED,QOP,Qualified,,,,"",1999-04-30 00:00:00,,,,,,,,,,
949/OC-PN,1998,IAF,EXTERNAL AUDITORS,PN-CGN,CONTRALORIA GENERAL DE PANAMA,NE,Not Eligible,PROJECT,ANY,ANALYZED,QOP,Qualified,,,,PRORROGA REQUERIDA POR LIMITACIONES DE PERSONAL Y EQUIPO. SEGUNDA PRORROGA POR  CAMBIO DE LA UCP Y DEL GOBIERNO. EL 1/NOV/99 PRESENTARON LOS EFA COMPLETANDOLOS EL 24/NOV/99.INICIARON UN PLAN DE TRABAJO PARA MANTENER UN CONTROL APROPIADO DELPROGRAMA.,1999-10-31 00:00:00,,,,,,,,,,
1331/OC-GU,2003,IAF,EXTERNAL AUDITORS,ES-DELOITTE,"DELOITTE  GUATEMALA, S.A.",ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,,,,"",2004-04-30 00:00:00,,,,,,,,,,
1344/OC-JA,2007,IAF,EXTERNAL AUDITORS,JA-DELOITTE,DELOITTE & TOUCHE,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,11277.00,USD,REPORTING ON NGOS INADEQUATE AND REV FUN RECONCILIATION INCOMPLETE PIU TO SUBMIT ACTION PLAN FOLLOWING MEETING ON 31JAN08 TO ADDRESS ISSUES COMMUNICATED IN LETTER CCB/CJA/93/2008.NON-COMPLIANCE 7.03(A)(III) REMAINS.,2007-07-31 00:00:00,,,,,,,,,,
1112/OC-BH,1999,IAF,EXTERNAL AUDITORS,BH-BDO,BDO-MANN JUDD,NE,Not Eligible,PROJECT,WA,WAIVED,NULL,"",,,,A SECOND TWO MONTH EXTENSION WAS GRANTED TO ALLOW SOLVING THE PROBLEMS THAT     PERSIST IN THE NEW ELECTRONIC SYSTEM.*BORROWER EXPERIENCED STAFFING PROBLEMS FORKEY POSITIONS. CBH WILL GRANT WAIVER FOR AFS PRESENTATION IN VIEW OF LIMITED ACTIVITY IN 1999.,2000-08-31 00:00:00,,,,,,,,,,
834/SF-EC,1998,IAF,EXTERNAL AUDITORS,EC-DELOITTE,DELOITTE & TOUCHE,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Unqualified,,,,"OPINION CON IMPORTANTES SALVEDADES, INCUMPLIMIENTOS ART 6.07 MANTENIMIENTO, 7.01 REGISTROS Y 7.03(A)(III) PRESENTACION DE EF.",1999-04-30 00:00:00,,,,,,,,,,
883/OC-GU,1998,IAF,EXTERNAL AUDITORS,GU-ILLESCASV,ILLESCAS VILLALBA Y AOSCIADOS,NE,Not Eligible,PROJECT,ANY,ANALYZED,QOP,Qualified,,,,DICTAMEN DE LOS AUDITORES CON SALVEDADES IMPORTANTES,1999-04-30 00:00:00,,,,,,,,,,
897/OC-DR,1998,IAF,EXTERNAL AUDITORS,DR-HI,"HORWATH, SOTERO, PERALTA Y ASOCIADOS",ELG,Eligibility III,PROJECT,ANY,ANALYZED,CLE,Unqualified,,,,CDRC-1935/99,1999-11-15 00:00:00,,,,,,,,,,
1110/SF-NI,2003,IAF,EXTERNAL AUDITORS,NI-GTI,"GRANT THORTON HERNANDEZ & ASOCIADOS, S.A",ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,,,,"",2004-04-30 00:00:00,,,,,,,,,,
SP/SF-92-06-DR,1998,IAF,EXTERNAL AUDITORS,DR-HI,"HORWATH, SOTERO, PERALTA Y ASOCIADOS",ELG,Eligibility III,PROJECT,ANY,ANALYZED,CLE,Unqualified,,,,CL 6.03 (A) (II)(II),1998-10-31 00:00:00,,,,,,,,,,
958/SF-PE,1999,IAF,EXTERNAL AUDITORS,PE-PWC,"PWC-DONGO-SORIA, GAVEGLIO Y ASOCIADOS FIRMA MIEMBRO DE PRICEWATERHOUSE",ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Unqualified,,,,"",2000-04-30 00:00:00,,,,,,,,,,
1126/SF-BO-1,2005,IAF,EXTERNAL AUDITORS,BO-KPMG,"RUIZMIER, RIVERA, PELAEZ, AUZA S.R.L.",ELG+,Eligibility I,PROJECT,ANY,ANALYZED,QOP,Salvedades - Qualified,,,,EL CUMPLIMIENTO CONTRACTUAL DE PRESENTACION DE EFAS 2005 ESTA PENDIENTE. SE HICIERON OBSERVACIONES AL INFORME Y MEDIANTE NOTA COF/CBO-CA-2257/06 (IDBDOCS 40706)SE SOLICITARON ACLARACIONES.,2006-04-30 00:00:00,,,,,,,,,,
SP/SF-97-10-BR,2002,NULL,,NULL,,NULL,,EXECUTOR,SC,SCHEDULED,NULL,"",,,,"",2003-04-30 00:00:00,,,,,,,,,,
1528/SF-NI,2006,IAF,EXTERNAL AUDITORS,NI-GTI,"GRANT THORTON HERNANDEZ & ASOCIADOS, S.A",ELG+,Eligibility I,PROJECT,ANY,ANALYZED,QOP,Salvedades - Qualified,350,7715.00,USD,"",2007-04-30 00:00:00,,,,,,,,,,
1528/SF-NI,2007,IAF,EXTERNAL AUDITORS,NI-GTI,"GRANT THORTON HERNANDEZ & ASOCIADOS, S.A",ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,,"ESTA OPER.NO ESTÁ APROBADA PARA SER EJECUTADA CON REVISIÓN EX POST DE ADQUISIC. Y DESEMBOLSOS,  NO SE REQUIERE UN DICT. DE REVISIÓN EX POST DE ACUERDO AL DOC. AF -500. SIN EMBARGO, PRESENTAN ESTE INF. Q NO SE AJUSTA NECESARIAMENTE AL AF-500",2008-04-30 00:00:00,,,,,,,,,,
1126/SF-BO-1,2006,IAF,EXTERNAL AUDITORS,BO-KPMG,"RUIZMIER, RIVERA, PELAEZ, AUZA S.R.L.",ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,683,13905.00,USD,"",2007-04-30 00:00:00,,,,,,,,,,
1073/SF-HO,2001,NULL,,NULL,,NULL,,PROJECT,WA,WAIVED,NULL,"",,,,"",2002-04-30 00:00:00,,,,,,,,,,
SP/EM-98-11-PE,1999,IAF,EXTERNAL AUDITORS,PE-JARA,"JARA, ALVA Y URQUIZA CONTADORES PUBLICOSS.C.",ELG,Eligibility III,BORROWER,ANY,ANALYZED,CM,CM,,,,"",2000-06-30 00:00:00,,,,,,,,,,
1048/SF-HO,2002,NULL,,NULL,,NULL,,EXECUTOR,WA,WAIVED,NULL,"",,,,"",2003-04-30 00:00:00,,,,,,,,,,
1048/SF-HO,2003,IAF,EXTERNAL AUDITORS,HO-EY,MORALES GROUP,NE,Not Eligible,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,,,,"",2004-04-30 00:00:00,,,,,,,,,,
1368/OC-CR,2004,IAF,EXTERNAL AUDITORS,CR-PW-COOPERS,PRICE WATERHOUSE COOPERS,ELG+,Eligibility I,EXECUTOR,ANY,ANALYZED,CLE,Limpia - Unqualified,,,,VER OBSERVACION EN EL EFA DE PROYECTO.,2005-04-30 00:00:00,,,,,,,,,,
1111/SF-NI,2003,IAF,EXTERNAL AUDITORS,NI-GUADAMUZ,"GUADAMUZ RUEDA, MARTINEZ & CIA. LTDA.",ELG,Eligibility II,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,,,,"",2004-04-30 00:00:00,,,,,,,,,,
1074/SF-NI,2003,IAF,EXTERNAL AUDITORS,NI-GTI,"GRANT THORTON HERNANDEZ & ASOCIADOS, S.A",ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,,,,"",2004-04-30 00:00:00,,,,,,,,,,
1074/SF-NI,2004,IAF,EXTERNAL AUDITORS,NI-GUADAMUZ,"GUADAMUZ RUEDA, MARTINEZ & CIA. LTDA.",ELG,Eligibility II,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,,,,"",2005-04-30 00:00:00,,,,,,,,,,
SP/SF-92-06-DR,1998,IAF,EXTERNAL AUDITORS,DR-HI,"HORWATH, SOTERO, PERALTA Y ASOCIADOS",ELG,Eligibility III,EXECUTOR,ANY,ANALYZED,CLE,Unqualified,,,,CL. 6.03 (A) (II)(I),1998-10-31 00:00:00,,,,,,,,,,
1106/SF-HO,2004,IAF,EXTERNAL AUDITORS,HO-PWC,PRICEWATERHOUSECOOPERS,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,,,,"",2005-04-30 00:00:00,,,,,,,,,,
1281/OC-CH,2006,IAF,EXTERNAL AUDITORS,CH-CGR,CONTRALORIA GENERAL DE LA REPUBLICA,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,,,,"",2007-04-30 00:00:00,,,,,,,,,,
1561/OC-CO,2006,IAF,EXTERNAL AUDITORS,CO-PKF,AMEZQUITA & CIA. S.A.,ELG,Eligibility II,PROJECT,ANY,ANALYZED,QOP,Salvedades - Qualified,0,0.00,USD,PNUD NO CUMPLE CON EL CONVENIO CON EL BANCO FIRMADO EN EL 2003 DE MANTENER CUENTAS SEPARADAS PARA EL MAENJO DE LOS RECURSOS Y EL BANCO DESEMBOLSO PAGOS DIRECTOS SIN RESPALDO EN EL 2005 QUE AUN NO HAN SIDO JUSTIFICADOS,2007-04-30 00:00:00,,,,,,,,,,
1054/OC-GU,2004,NULL,,NULL,,NULL,,PROJECT,WA,WAIVED,NULL,"",,,,"",2005-04-30 00:00:00,,,,,,,,,,
1407/OC-UR-1,2002,IAF,EXTERNAL AUDITORS,UR-TC,TRIBUNAL DE CUENTAS - SAI,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,,,,"",2003-04-30 00:00:00,,,,,,,,,,
994/OC-VE,1998,IAF,EXTERNAL AUDITORS,VE-KPMG,"RODRIGUEZ, VELAZQUEZ & ASOCIADOS KPMG",ELG+,Eligibility I,EXECUTOR,ANY,ANALYZED,CLE,Unqualified,,,,CVE-4882/FIN-907-C/99.,1999-08-31 00:00:00,,,,,,,,,,
1045/OC-VE,1998,IAF,EXTERNAL AUDITORS,VE-DELOITTE,LARA MARAMBIO & ASOCIADOS MIEMBROS DE DELOITTE TOUCHE TOMAHATSU,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Unqualified,,,,CVE-4317/FIN-0798-C/99(2).,1999-05-31 00:00:00,,,,,,,,,,
1108/OC-PN,2003,IAF,EXTERNAL AUDITORS,PN-CGN,CONTRALORIA GENERAL DE PANAMA,NE,Not Eligible,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,,,,"",2004-04-30 00:00:00,,,,,,,,,,
1311/OC-CH,2003,IAF,EXTERNAL AUDITORS,CH-CGR,CONTRALORIA GENERAL DE LA REPUBLICA,ELG+,Eligibility I,EXECUTOR 4,ANY,ANALYZED,QOP,Salvedades - Qualified,,,,EFAS DE "MINISTERIO DE SALUD" UNO DE 4 CO-EJECUTORES Y UN CONSOLIDADO. SE CONVOCA A CRG.,2004-04-30 00:00:00,,,,,,,,,,
1286/OC-CH,2003,IAF,EXTERNAL AUDITORS,CH-CGR,CONTRALORIA GENERAL DE LA REPUBLICA,ELG+,Eligibility I,EXECUTOR 1,ANY,ANALYZED,CLE,Limpia - Unqualified,,,,EFAS DE CONYCIT QUE INCLUYE FONDEF,2004-04-30 00:00:00,,,,,,,,,,
994/OC-VE,1999,IAF,EXTERNAL AUDITORS,VE-KPMG,"RODRIGUEZ, VELAZQUEZ & ASOCIADOS KPMG",ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Unqualified,,,,CARTA GERENCIA RECIBIDA EL 24 AGOSTO,2000-07-31 00:00:00,,,,,,,,,,
884/OC-GU,1998,IAF,EXTERNAL AUDITORS,GU-ILLESCASV,ILLESCAS VILLALBA Y AOSCIADOS,NE,Not Eligible,PROJECT,ANY,ANALYZED,QOP,Qualified,,,,DICTAMEN DE LOS AUDITORES CON SALVEDADES IMPORTANTES,1999-04-30 00:00:00,,,,,,,,,,
903/SF-DR,1999,IAF,EXTERNAL AUDITORS,DR-PWC,PRICEWATERHOUSECOOPERS INTERAMERICA S.A.REP. DOMINICANA,ELG+,Eligibility I,EXECUTOR,ANY,ANALYZED,CLE,Unqualified,,,,"",2000-04-30 00:00:00,,,,,,,,,,
1013/OC-PN,1998,IAF,EXTERNAL AUDITORS,PN-CGN,CONTRALORIA GENERAL DE PANAMA,NE,Not Eligible,PROJECT,ANY,ANALYZED,QOP,Qualified,,,,"",1999-04-30 00:00:00,,,,,,,,,,
SP/SF-97-03-BR,1998,IAF,EXTERNAL AUDITORS,BR-LOUDON,LOUDON  BLONQUIST - AUDITORES INDEPENDIENTES,ELG,Eligibility II,PROJECT,REC,RECEIVED,NULL,"",,,,DEMORAS EN CIERRE DE CONTABILIDAD.,1999-05-30 00:00:00,,,,,,,,,,
SP/SF-97-03-BR,1998,IAF,EXTERNAL AUDITORS,BR-LOUDON,LOUDON  BLONQUIST - AUDITORES INDEPENDIENTES,ELG,Eligibility II,BORROWER,REC,RECEIVED,NULL,"",,,,DEMORAS EN CIERRE DE CONTABILIDAD.,1999-05-31 00:00:00,,,,,,,,,,
943/OC-GU,1999,IAF,EXTERNAL AUDITORS,ES-DELOITTE,"DELOITTE  GUATEMALA, S.A.",ELG+,Eligibility I,PROJECT,ANY,ANALYZED,QOP,Qualified,,,,"LA RAZON SOCIAL DE LA FIRMA AUDITORA ES: LIZARRALDE & LARA, FIRMA MIEMBRO DE    -DELOITTE & TOUCHE-INFORME INCOMPLETO, ESTE NO INCLUYE UNA CONCILIACION DEL PASIVO A FAVOR DEL BID.EJECUTOR INCUMPLIO CLAUSULA 4.03 ""INFORME ANUAL ESTADO OBRAS""",2000-04-30 00:00:00,,,,,,,,,,
999/OC-BL,2001,IAF,EXTERNAL AUDITORS,BL-DT,DELOITTE & TOUCHE,ELG,Eligibility III,PROJECT,ANY,ANALYZED,QOP,Qualified,,,,"",2001-07-31 00:00:00,,,,,,,,,,
1099/OC-PN,1998,IAF,EXTERNAL AUDITORS,PN-CGN,CONTRALORIA GENERAL DE PANAMA,NE,Not Eligible,PROJECT,ANY,ANALYZED,CLE,Unqualified,,,,"",1999-04-30 00:00:00,,,,,,,,,,
1017/SF-NI,2004,IAF,EXTERNAL AUDITORS,NI-PWC,PRICEWATERHOUSECOOPERS,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,,,,ESTOS EFAS CORRESPONDEN AL PROYECTO EJECUTADO POR CNE,2005-04-30 00:00:00,,,,,,,,,,
1017/SF-NI,2005,IAF,EXTERNAL AUDITORS,NI-PWC,PRICEWATERHOUSECOOPERS,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,,,,ESTOS SON LOS EFAS DE PROYECTO CNE,2006-04-30 00:00:00,,,,,,,,,,
987/SF-BO,1998,IAF,EXTERNAL AUDITORS,BO-GARCIA-VERAMENDI,DKF - GARCIA VERAMENDI & ASOCIADOS,ELG,Eligibility II,PROJECT,ANY,ANALYZED,CLE,Unqualified,,,,SE DIO CUMPLIMIENTO CONTRACTUAL.,1999-04-30 00:00:00,,,,,,,,,,
809/SF-SU,1998,IAF,EXTERNAL AUDITORS,SU-DELOITTE-TOUCHE,DELOITTE & TOUCHE,ELG+,Eligibility I,PROJECT,REC,RECEIVED,NULL,"",,,,"",1999-04-30 00:00:00,,,,,,,,,,
1044/SF-GY,2006,IAF,EXTERNAL AUDITORS,GY-AG,AUDITOR GENERAL,ELG,Eligibility II,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,USD,"",2007-04-30 00:00:00,,,,,,,,,,
SP/SF-97-22-AR,2003,FI,FINANCIAL INSTITUTION,AR-BUSQUETS,MIGUEL ANGEL BUSQUETS,ELG,Eligibility III,PROJECT,SC,CONTRACTED,NULL,"",,,,SE RECIBIO EL 1/6/2004 AUDITOR MIGUEL ANGEL BUSQUETS.,2004-04-30 00:00:00,,,,,,,,,,
SP/SF-97-22-AR,2005,FI,FINANCIAL INSTITUTION,AR-BUSQUETS,MIGUEL ANGEL BUSQUETS,ELG,Eligibility III,PROJECT,REC,RECEIVED,NULL,"",,,,EFAS FINALES,2006-04-30 00:00:00,,,,,,,,,,
928/OC-VE,1998,IAF,EXTERNAL AUDITORS,VE-KPMG,"RODRIGUEZ, VELAZQUEZ & ASOCIADOS KPMG",ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Unqualified,,,,CVE-2456/FIN-0509-C/99-2.,1999-04-30 00:00:00,,,,,,,,,,
903/SF-DR,2000,IAF,EXTERNAL AUDITORS,DR-DELOITTE-TOUCHE,"DELOITTE RD, SRL",ELG,Eligibility II,PROJECT,ANY,ANALYZED,CLE,Unqualified,,,,"INCLUYE COFINANCIAMIENTO PRESTAMO 345/IF-DR FIDA, Y REQUERIMIENTO DE PRESENTACION DE EFAS ENTIDAD DEL PRESTAMO 905/OC-DR",2001-04-30 00:00:00,,,,,,,,,,
839/OC-ES,1998,IAF,EXTERNAL AUDITORS,ES-CASTELLAN,GRANT THORNTON EL SALVADOR LTD,NE,Not Eligible,PROJECT,ANY,ANALYZED,CLE,Unqualified,,,,"",1999-04-30 00:00:00,,,,,,,,,,
840/OC-ES,1998,IAF,EXTERNAL AUDITORS,ES-CASTELLAN,GRANT THORNTON EL SALVADOR LTD,NE,Not Eligible,PROJECT,ANY,ANALYZED,CLE,Unqualified,,,,"",1999-04-30 00:00:00,,,,,,,,,,
826/SF-DR,1999,IAF,EXTERNAL AUDITORS,DR-BDO ORTEGA,"BDO AUDITORÍA, SRL",ELG,Eligibility II,PROJECT,ANY,ANALYZED,CLE,Unqualified,,,,"",1999-09-30 00:00:00,,,,,,,,,,
